,,Country,AirTemp,Humidity,Pressure,TrackTemp,WindSpeed,Rainfall
2018,0,United States,21.93358778625954,37.555725190839695,1005.9,30.486259541984733,2.0908396946564882,False
2018,1,Belgian,17.327358490566038,37.700943396226414,966.9103773584906,27.89811320754717,2.039622641509434,False
2018,2,Hungarian,33.75887850467289,33.00654205607477,983.5271028037382,51.08971962616822,1.1429906542056074,False
2018,3,Canadian,20.52358490566038,27.82547169811321,1017.5150943396227,36.94905660377359,2.471698113207547,False
2018,4,Spanish,16.050476190476193,52.28666666666667,1001.5419047619047,32.33904761904761,1.9523809523809523,False
2018,5,Monaco,26.640707964601766,50.892920353982305,1015.2106194690267,34.60973451327434,1.382300884955752,False
2018,6,Japanese,28.26481481481482,50.51574074074074,1008.1925925925926,37.17037037037037,1.7916666666666667,False
2018,7,Singapore,29.86541353383459,66.03609022556391,1007.8112781954889,33.12406015037594,1.978947368421053,False
2018,8,Abu Dhabi,31.273722627737225,45.43795620437956,1013.1116788321167,33.31824817518248,2.1635036496350364,False
2018,9,Austrian,23.176086956521743,37.141304347826086,936.1097826086957,45.87934782608695,2.4847826086956526,False
2018,10,French,24.546078431372553,49.049019607843135,966.2598039215685,42.03333333333334,1.8156862745098041,False
2018,11,British,27.43163265306122,38.73979591836735,1008.3040816326529,52.16938775510204,1.4612244897959183,False
2018,12,Australian,24.077477477477483,30.91531531531532,997.0036036036036,36.324324324324316,3.6918918918918915,False
2018,13,Bahrain,27.982524271844653,47.36310679611651,1009.4941747572815,32.19805825242719,0.9582524271844662,False
2018,14,German,26.40192307692308,54.80769230769231,1001.3999999999999,40.66826923076923,2.0086538461538463,False
2018,15,Russian,24.778181818181817,61.30818181818182,1016.5336363636363,29.945454545454545,1.997272727272727,False
2018,16,Mexican,20.1231884057971,50.70942028985507,784.1927536231884,34.47028985507246,1.5594202898550724,False
2018,17,Brazilian,23.7696,75.4128,923.9295999999999,40.0688,2.1872000000000003,False
2018,18,Azerbaijan,16.66140350877193,45.651754385964914,1021.9131578947369,25.25175438596491,2.2228070175438597,False
2018,19,Chinese,19.446428571428573,24.089285714285715,1018.1312500000001,37.01964285714286,1.8375000000000001,False
2018,20,Italian,22.189898989898992,63.8070707070707,995.219191919192,30.822222222222223,2.1242424242424245,False
2019,0,United States,21.93358778625954,37.555725190839695,1005.9,30.486259541984733,2.0908396946564882,False
2019,1,Belgian,17.327358490566038,37.700943396226414,966.9103773584906,27.89811320754717,2.039622641509434,False
2019,2,Hungarian,33.75887850467289,33.00654205607477,983.5271028037382,51.08971962616822,1.1429906542056074,False
2019,3,Canadian,20.52358490566038,27.82547169811321,1017.5150943396227,36.94905660377359,2.471698113207547,False
2019,4,Spanish,16.050476190476193,52.28666666666667,1001.5419047619047,32.33904761904761,1.9523809523809523,False
2019,5,Monaco,26.640707964601766,50.892920353982305,1015.2106194690267,34.60973451327434,1.382300884955752,False
2019,6,Japanese,28.26481481481482,50.51574074074074,1008.1925925925926,37.17037037037037,1.7916666666666667,False
2019,7,Singapore,29.86541353383459,66.03609022556391,1007.8112781954889,33.12406015037594,1.978947368421053,False
2019,8,Abu Dhabi,31.273722627737225,45.43795620437956,1013.1116788321167,33.31824817518248,2.1635036496350364,False
2019,9,Austrian,23.176086956521743,37.141304347826086,936.1097826086957,45.87934782608695,2.4847826086956526,False
2019,10,French,24.546078431372553,49.049019607843135,966.2598039215685,42.03333333333334,1.8156862745098041,False
2019,11,British,27.43163265306122,38.73979591836735,1008.3040816326529,52.16938775510204,1.4612244897959183,False
2019,12,Australian,24.077477477477483,30.91531531531532,997.0036036036036,36.324324324324316,3.6918918918918915,False
2019,13,Bahrain,27.982524271844653,47.36310679611651,1009.4941747572815,32.19805825242719,0.9582524271844662,False
2019,14,German,26.40192307692308,54.80769230769231,1001.3999999999999,40.66826923076923,2.0086538461538463,False
2019,15,Russian,24.778181818181817,61.30818181818182,1016.5336363636363,29.945454545454545,1.997272727272727,False
2019,16,Mexican,20.1231884057971,50.70942028985507,784.1927536231884,34.47028985507246,1.5594202898550724,False
2019,17,Brazilian,23.7696,75.4128,923.9295999999999,40.0688,2.1872000000000003,False
2019,18,Azerbaijan,16.66140350877193,45.651754385964914,1021.9131578947369,25.25175438596491,2.2228070175438597,False
2019,19,Chinese,19.446428571428573,24.089285714285715,1018.1312500000001,37.01964285714286,1.8375000000000001,False
2019,20,Italian,22.189898989898992,63.8070707070707,995.219191919192,30.822222222222223,2.1242424242424245,False
2019,21,United States,21.475572519083972,29.242748091603048,1001.4763358778628,29.081679389312974,2.553435114503817,False
2019,22,Belgian,17.4,57.03,968.2574999999999,28.119166666666665,2.0358333333333336,False
2019,23,Hungarian,25.66,33.893076923076926,986.4846153846154,44.096923076923076,1.1938461538461538,False
2019,24,Canadian,29.368253968253967,16.14761904761905,1022.1111111111112,51.098412698412695,1.3087301587301585,False
2019,25,Spanish,20.147727272727273,54.724242424242426,1006.7916666666666,40.72727272727273,1.9295454545454545,False
2019,26,Monaco,22.754676258992802,52.697841726618705,1010.9107913669066,32.72949640287769,0.9035971223021583,False
2019,27,Japanese,21.619354838709675,57.47822580645161,1009.141935483871,32.18387096774193,5.468548387096775,False
2019,28,Singapore,29.965161290322584,66.45548387096774,1010.941935483871,35.752903225806456,1.8574193548387095,False
2019,29,Abu Dhabi,26.018045112781955,64.47142857142858,1015.3834586466165,29.566165413533835,1.2646616541353384,False
2019,30,Austrian,34.44406779661016,17.965254237288136,940.8889830508475,50.74406779661018,1.225423728813559,False
