driverCode,Year,Age,Experience,Total_Points
RAI,2015,36.0,14.0,126.0
RAI,2016,37.0,15.0,155.0
RAI,2017,38.0,16.0,172.0
RAI,2018,39.0,17.0,218.0
RAI,2019,40.0,18.0,42.0
RAI,2020,41.0,19.0,4.0
RAI,2021,42.0,20.0,9.0
RIC,2012,23.0,1.0,13.0
RIC,2013,24.0,2.0,23.0
RIC,2014,25.0,3.0,241.0
RIC,2015,26.0,4.0,95.0
RIC,2016,27.0,5.0,259.0
RIC,2017,28.0,6.0,203.0
RIC,2018,29.0,7.0,173.0
RIC,2019,30.0,8.0,57.0
RIC,2020,31.0,9.0,122.0
RIC,2021,32.0,10.0,117.0
RIC,2022,33.0,11.0,37.0
ROS,2012,27.0,6.0,82.0
ROS,2013,28.0,7.0,157.0
ROS,2014,29.0,8.0,287.0
ROS,2015,30.0,9.0,289.0
ROS,2016,31.0,10.0,324.0
RSS,2015,24.0,-1.0,0.0
RUS,2019,21.0,0.0,13.0
RUS,2020,22.0,1.0,8.0
RUS,2021,23.0,2.0,29.0
RUS,2022,24.0,3.0,275.0
SAI,2015,21.0,0.0,29.0
SAI,2016,22.0,1.0,64.0
SAI,2017,23.0,2.0,65.0
SAI,2018,24.0,3.0,71.0
SAI,2019,25.0,4.0,114.0
SAI,2020,26.0,5.0,116.0
SAI,2021,27.0,6.0,181.5
SAI,2022,28.0,7.0,246.0
SEN,2012,29.0,2.0,25.0
SIR,2018,23.0,0.0,1.0
STE,2014,23.0,0.0,0.0
STE,2015,24.0,1.0,0.0
STR,2017,19.0,0.0,40.0
STR,2018,20.0,1.0,6.0
STR,2019,21.0,2.0,21.0
STR,2020,22.0,3.0,75.0
STR,2021,23.0,4.0,34.0
STR,2022,24.0,5.0,18.0
SUT,2013,30.0,6.0,27.0
SUT,2014,31.0,7.0,0.0
TSU,2021,21.0,0.0,32.0
TSU,2022,22.0,1.0,12.0
VAN,2016,24.0,0.0,1.0
VAN,2017,25.0,1.0,12.0
VAN,2018,26.0,2.0,10.0
VDG,2013,28.0,0.0,0.0
VER,2012,22.0,1.0,32.0
VER,2013,23.0,2.0,29.0
VER,2014,24.0,3.0,38.0
VER,2015,18.0,0.0,65.0
VER,2016,19.0,1.0,225.0
VER,2017,20.0,2.0,184.0
VER,2018,21.0,3.0,270.0
VER,2019,22.0,4.0,299.0
VER,2020,23.0,5.0,230.0
VER,2021,24.0,6.0,409.5
VER,2022,25.0,7.0,454.0
VET,2012,25.0,5.0,281.0
VET,2013,26.0,6.0,397.0
VET,2014,27.0,7.0,167.0
VET,2015,28.0,8.0,278.0
VET,2016,29.0,9.0,212.0
VET,2017,30.0,10.0,317.0
VET,2018,31.0,11.0,320.0
VET,2019,32.0,12.0,240.0
VET,2020,33.0,13.0,33.0
VET,2021,34.0,14.0,43.0
VET,2022,35.0,15.0,37.0
WEB,2012,36.0,10.0,163.0
WEB,2013,37.0,11.0,183.0
WEH,2016,22.0,0.0,1.0
WEH,2017,23.0,1.0,5.0
ZHO,2022,23.0,0.0,6.0
