,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
46,278.01,447.89,833.81,432.88,315.34,879.55,221.01,261.65,835.86,,306.86,563.81,,,884.47,874.86,748.5,923.8,
47,426.01,1325.06,562.19,520.32,573.6,242.79,1165.64,368.52,552.18,,714.1,369.97,,,1313.61,799.51,609.63,850.35,
48,1588.58,1601.19,630.96,427.5,575.31,170.47,1067.66,453.89,524.81,,617.52,295.51,,,1476.7,718.61,499.77,721.41,
49,1572.1,1478.64,546.66,268.45,831.06,444.48,796.87,376.22,4.31,,345.2,623.18,,,1597.03,410.64,306.43,665.27,
50,1531.47,1551.41,459.77,749.42,1563.2,352.78,659.83,578.55,1188.33,,169.13,518.09,,,1648.45,795.02,222.07,1799.24,
51,1630.91,431.79,370.22,633.37,1546.23,258.24,1101.36,119.61,1653.66,,602.39,883.48,,,1575.29,642.28,145.74,1693.37,
52,1557.13,1113.85,223.71,431.71,724.2,244.41,843.83,892.81,878.88,,364.41,1320.19,,,955.48,520.1,681.29,447.4,
53,367.38,807.98,818.55,142.39,546.69,533.13,2257.88,1188.24,708.84,,413.74,1395.86,,,765.38,567.77,607.18,828.29,
54,722.46,382.48,600.96,489.54,545.35,296.54,446.98,1332.56,450.1,,301.53,1462.92,,,903.36,529.8,451.5,759.69,
55,539.95,7.61,211.32,369.78,111.01,210.41,816.58,1736.55,1279.24,,578.8,1479.02,,,765.27,859.77,387.12,495.61,
56,276.06,679.35,1710.23,290.29,4.12,129.49,591.92,992.76,996.76,,472.68,1781.17,,,299.28,576.02,189.36,429.52,
57,8.67,361.96,1833.12,203.98,98.25,515.97,456.62,777.6,1898.45,,206.84,931.92,,,217.19,479.53,11.19,317.78,
58,323.15,557.83,1247.07,437.48,504.47,554.95,330.38,806.86,429.18,,534.42,597.41,,,721.26,528.34,955.27,5.08,
59,434.81,61.75,1554.34,514.1,898.06,341.48,547.38,180.73,931.72,,910.81,1001.34,,,708.34,767.56,804.9,794.26,
60,371.31,600.77,1676.49,284.15,818.99,248.62,917.53,680.32,756.4,,1470.9,837.19,,,649.06,433.89,1769.54,703.66,
61,258.21,455.75,337.31,170.89,593.25,531.65,368.38,388.41,836.73,,1795.74,1310.22,,,812.22,374.47,1595.07,1865.59,
62,245.77,339.24,283.77,592.7,514.1,935.58,300.08,521.52,1944.69,,1738.74,739.66,,,728.72,297.17,1361.47,1938.4,
63,762.5,169.95,168.91,418.07,429.37,1602.43,232.32,441.13,1686.18,,1869.83,690.79,,,651.38,667.27,1023.51,1788.61,
64,776.5,336.31,770.62,736.1,451.09,1581.53,576.76,368.63,355.7,,744.28,580.26,,,584.35,456.37,376.44,240.01,
65,261.64,266.47,671.33,852.56,371.41,1466.79,478.46,266.86,574.33,,440.35,449.66,,,482.27,361.0,641.65,561.57,
66,193.63,210.63,399.25,751.9,299.09,1690.73,83.01,619.8,861.45,,367.69,133.17,,,505.02,657.22,763.6,88.65,
67,129.96,453.63,293.04,579.47,449.92,988.67,472.49,532.97,431.68,,444.42,390.82,,,610.43,169.9,354.26,475.01,
68,481.25,363.86,200.24,438.2,360.05,532.0,351.95,363.32,366.34,,415.8,498.93,,,280.89,684.2,282.67,397.09,
69,391.12,24.18,218.85,374.47,211.92,872.4,342.97,290.36,293.35,,758.44,678.11,,,213.55,595.5,485.02,596.09,
70,124.91,348.83,377.21,671.31,397.56,704.92,167.2,150.27,525.25,,583.79,606.03,,,148.39,492.05,227.38,499.87,
71,393.52,117.52,299.33,585.4,492.96,445.77,171.74,627.41,430.5,,516.85,586.87,,,446.22,745.37,74.84,410.59,
72,233.14,323.15,238.45,349.93,276.64,334.14,267.03,529.98,48.89,,402.26,430.73,,,66.3,521.52,599.82,42.57,
73,151.95,154.94,654.59,171.75,190.35,1005.61,423.94,264.58,630.28,,515.59,365.49,,,555.15,427.53,366.65,515.65,
74,273.51,342.12,367.52,454.73,273.04,537.8,247.34,114.74,382.75,,429.59,99.12,,,432.74,588.46,465.55,399.79,
75,354.36,178.67,418.03,84.6,270.62,496.13,588.97,452.89,468.18,,590.21,674.2,,,218.82,943.31,275.43,295.9,
76,156.84,94.55,329.96,281.52,178.67,326.82,438.45,428.22,365.12,,493.26,529.61,,,154.01,1432.23,192.48,211.4,
77,70.01,451.57,174.29,359.7,478.44,249.9,771.08,333.82,273.49,,314.93,362.32,,,252.72,1598.41,33.49,54.47,
78,520.0,371.4,151.64,272.27,755.53,649.96,1407.37,250.49,193.03,,254.68,689.56,,,166.52,1554.82,477.35,288.98,
79,363.07,714.03,524.23,189.9,859.25,848.57,1645.94,298.4,373.99,,551.99,583.4,,,574.76,1542.56,322.44,202.14,
80,373.0,725.1,463.17,477.5,730.29,1416.9,1628.93,463.96,279.69,,416.03,519.39,,,488.77,1909.23,235.58,530.41,
81,662.37,568.46,475.01,741.77,634.55,1643.31,626.06,359.7,191.14,,307.16,400.69,,,826.83,855.23,518.37,448.79,
82,500.91,499.75,387.76,1377.66,549.31,1780.54,939.46,265.23,523.27,,217.84,286.39,,,365.26,1019.91,353.84,707.77,
83,365.34,650.24,309.85,1438.03,474.18,1762.46,864.55,591.71,857.01,,469.79,305.92,,,347.09,829.71,761.73,1139.48,
84,302.93,530.03,737.94,1590.14,853.61,788.54,330.13,509.4,528.21,,346.37,209.43,,,328.76,692.6,1082.42,821.54,
85,513.87,305.09,620.52,591.51,763.11,719.54,520.97,889.16,471.89,,253.06,394.22,,,68.77,433.64,971.38,743.31,
86,430.5,415.97,419.78,383.71,587.91,847.09,517.33,1176.4,791.93,,607.73,270.98,,,822.94,331.01,792.91,672.89,
87,116.39,273.25,128.07,535.59,460.62,218.51,451.89,1035.83,31.04,,523.55,180.16,,,745.33,696.07,709.2,889.0,
88,375.59,866.53,362.2,453.63,583.61,412.44,289.04,828.61,425.99,,731.47,492.55,,,545.34,286.87,561.41,812.19,
89,342.97,669.33,247.73,377.28,529.8,236.07,756.52,656.34,206.43,,701.46,780.5,,,407.95,729.33,76.7,676.38,
90,264.76,430.25,340.45,39.73,359.42,138.09,681.7,387.81,199.44,,629.53,1146.91,,,546.24,626.16,1189.08,324.76,
91,298.13,1451.8,166.32,661.58,728.12,12.47,602.16,890.16,718.76,,507.75,900.85,,,547.58,470.8,905.69,235.89,
92,74.33,1604.22,341.5,646.79,620.58,667.93,535.87,703.88,509.36,,863.56,795.55,,,1505.33,440.3,539.35,583.61,
93,270.08,1548.05,288.98,363.23,524.28,577.41,431.6,476.32,920.96,,671.33,616.06,,,1264.15,360.29,291.24,331.31,
94,1394.54,1607.17,197.74,304.0,358.37,494.3,391.93,90.99,1290.97,,503.53,465.36,,,359.05,727.52,47.33,211.57,
95,1533.97,573.35,126.94,491.33,599.08,7.96,18.89,681.29,664.54,,525.56,933.78,,,625.16,508.2,187.25,248.74,
96,1596.13,449.97,520.0,512.19,557.08,669.7,625.32,35.19,520.14,,293.48,829.58,,,175.87,412.27,477.66,740.93,
97,1624.23,852.47,428.21,422.1,927.63,416.88,496.53,637.87,568.37,,550.1,543.12,,,879.67,331.75,312.8,652.55,
98,464.22,598.93,640.99,274.87,851.18,343.27,447.86,798.06,793.39,,423.39,372.62,,,580.19,247.97,233.91,665.13,
99,372.44,502.0,1688.09,160.46,676.05,274.04,355.26,374.05,1803.86,,347.71,435.98,,,411.26,369.33,21.85,591.04,
100,900.06,278.3,1332.0,313.83,603.61,461.67,279.9,436.17,1256.47,,281.27,539.14,,,195.82,271.31,528.91,512.72,
101,741.21,451.89,1260.61,255.03,967.03,369.27,624.44,175.77,490.8,,387.42,351.19,,,640.93,188.22,789.16,626.05,
102,474.53,306.2,1061.14,632.46,873.39,276.33,520.55,258.84,337.3,,296.82,426.14,,,602.01,167.47,689.29,1581.81,
103,335.93,814.33,663.97,568.21,712.1,14.81,32.51,868.65,1095.19,,558.79,698.53,,,486.47,501.17,353.03,1659.97,
104,146.67,605.98,358.29,470.75,1318.26,613.29,466.57,1794.86,924.78,,775.59,723.91,,,360.29,278.02,580.68,655.07,
105,387.24,755.8,1423.26,373.44,671.13,255.56,257.78,1705.91,23.26,,1397.19,527.58,,,272.17,98.65,504.93,539.59,
106,148.97,560.49,1037.59,297.25,597.31,156.15,399.88,1771.24,1755.04,,1785.9,355.7,,,532.72,546.19,902.49,390.53,
107,113.71,476.79,465.41,696.65,519.57,77.08,217.84,592.47,597.85,,1750.45,567.09,,,436.13,462.02,1578.31,547.16,
108,488.21,331.29,1224.82,586.33,604.12,73.48,55.65,346.26,671.13,,661.42,490.34,,,116.03,781.1,1586.78,545.82,
109,532.27,580.97,1840.07,487.98,498.42,321.12,310.07,813.42,898.28,,739.01,863.59,,,359.97,1285.14,1581.52,570.26,
110,371.75,511.97,875.95,198.53,401.33,230.82,223.87,728.57,730.55,,379.79,870.47,,,238.24,1264.54,1593.68,493.45,
111,302.06,567.51,58.1,339.94,317.57,147.17,568.81,650.24,109.49,,225.21,1067.21,,,154.94,1275.61,1910.95,869.17,
112,480.59,347.26,652.31,485.84,788.39,52.81,473.14,100.07,580.28,,437.53,1194.38,,,236.5,1083.8,759.75,707.84,
113,270.31,275.04,591.92,276.64,407.42,496.65,634.36,331.91,935.47,,357.03,1803.01,,,155.64,1137.12,471.89,646.35,
114,200.16,465.6,430.82,193.62,331.38,415.84,1055.66,434.74,812.22,,285.45,761.06,,,74.09,661.25,1071.43,418.19,
115,135.89,376.61,236.28,17.76,540.45,749.13,937.8,571.84,644.42,,916.37,1325.05,,,464.46,746.87,976.12,190.5,
116,521.54,53.32,304.33,438.89,441.76,1107.89,743.68,948.35,1491.99,,508.92,1103.55,,,757.27,619.12,890.16,259.04,
117,322.39,281.58,359.65,329.05,343.65,983.72,494.11,856.04,1399.56,,424.31,46.39,,,1261.41,841.49,673.34,799.58,
118,156.67,75.51,496.25,230.51,204.3,871.73,1026.92,568.53,1317.74,,581.53,344.23,,,739.4,756.9,365.0,1511.04,
119,362.63,160.13,282.85,141.65,469.72,417.96,724.46,612.07,1181.03,,484.04,497.49,,,648.11,568.62,278.3,1439.75,
120,93.24,506.85,743.01,635.52,345.3,910.34,437.23,401.15,337.91,,297.86,126.07,,,564.81,420.83,124.37,1377.69,
121,233.91,255.63,308.34,470.67,303.45,713.15,106.55,324.49,97.8,,221.25,31.9,,,56.44,803.05,514.67,1314.92,
122,152.95,169.92,1737.02,729.03,215.69,23.26,643.2,251.19,784.46,,554.83,723.38,,,243.13,686.49,281.27,1133.86,
123,194.63,8.67,1801.33,1268.39,202.24,1129.08,129.87,564.18,381.62,,322.62,574.85,,,643.25,584.92,911.23,615.17,
124,194.58,503.63,408.55,1226.5,250.5,956.2,771.98,469.34,304.0,,340.45,476.28,,,522.21,360.16,743.01,391.86,
125,106.03,422.72,327.32,724.17,163.14,521.76,597.31,297.86,232.32,,252.44,398.21,,,945.84,850.02,663.15,321.53,
126,21.67,667.42,62.05,644.95,506.18,1537.16,241.58,183.82,844.82,,35.66,329.05,,,817.44,1193.07,484.16,255.98,
127,436.08,1273.23,581.74,378.54,705.4,401.8,256.73,471.18,502.69,,323.76,617.5,,,563.81,1470.92,411.73,500.86,
128,269.27,1220.4,432.01,607.7,927.4,317.98,840.71,366.72,406.72,,212.21,617.24,,,452.52,1463.7,299.05,238.96,
129,611.47,1034.96,506.39,461.86,781.55,611.13,502.55,267.91,10.69,,41.77,774.45,,,286.75,826.38,466.15,68.18,
130,645.58,798.6,420.04,378.44,580.44,892.12,1.14,273.16,570.61,,560.0,577.99,,,646.23,758.83,476.31,556.1,
131,490.63,269.83,341.28,313.29,495.27,1563.14,411.78,317.57,448.29,,478.44,487.5,,,585.25,1065.57,402.28,430.5,
132,353.26,152.98,616.55,470.41,419.05,839.45,665.87,227.66,425.99,,771.28,406.42,,,884.47,978.29,334.36,287.84,
133,228.39,371.11,513.87,310.6,742.21,766.36,1051.26,559.76,329.1,,697.59,711.01,,,1313.61,844.82,635.31,201.84,
134,100.91,52.1,153.77,239.42,542.19,696.73,1669.33,827.67,241.59,,608.29,600.88,,,1476.7,521.29,534.82,4.84,
135,492.53,67.45,490.47,476.79,308.23,1593.66,554.38,1251.77,258.72,,459.98,501.7,,,1597.03,693.97,257.34,342.81,
136,254.87,479.34,391.25,397.75,571.56,961.04,501.1,1026.25,412.61,,773.79,601.43,,,1648.45,239.03,121.42,228.29,
137,68.08,657.56,293.44,184.55,498.67,371.73,923.61,925.17,311.79,,603.75,475.81,,,1575.29,150.75,514.71,140.67,
