,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0
0,878.71,395.71,671.21,358.39,1163.24,1176.48,890.5,1063.89,549.82,1212.98,613.12,902.17,403.94,1026.03,,683.59,1462.17,,553.58,705.29
1,896.12,989.92,503.23,636.37,1084.1,789.43,1008.13,824.7,281.63,946.82,1014.29,801.36,350.17,902.73,,584.82,639.11,,414.41,582.55
2,1032.05,864.79,460.18,539.12,166.36,685.49,1157.62,724.65,877.9,611.23,914.72,705.63,296.63,690.1,,485.85,545.87,,252.32,345.89
3,825.27,646.48,343.14,444.86,732.82,595.72,989.92,647.85,766.7,466.39,733.48,530.56,408.52,377.5,,473.02,476.53,,571.09,1401.64
4,522.48,548.58,233.02,214.44,630.79,506.8,704.79,566.67,664.33,281.8,662.44,361.91,415.71,1462.72,,355.32,402.76,,505.6,1130.18
5,274.04,423.9,653.19,1213.22,458.11,1196.43,1886.25,495.2,555.82,1552.78,1316.4,785.79,314.23,1310.38,,301.24,336.95,,449.99,909.14
6,514.81,247.86,324.0,987.76,375.01,962.74,1808.65,1190.58,399.82,1168.19,1083.95,693.31,2170.04,1021.89,,1081.05,808.8,,969.2,697.89
7,437.2,1181.82,246.5,888.36,41.76,863.26,732.47,1055.87,278.5,955.05,982.94,541.25,2114.19,902.17,,971.39,724.4,,877.73,525.17
8,368.43,916.11,711.35,798.4,1192.19,692.01,953.15,952.85,2012.89,646.76,724.4,1154.03,2240.7,695.67,,874.7,354.22,,311.35,48.29
9,299.52,699.81,1160.52,640.86,1493.11,981.81,335.51,700.74,2025.81,973.61,31.4,2312.86,2145.13,430.43,,787.68,987.18,,213.91,992.58
10,894.46,522.29,889.8,1229.97,937.59,1055.32,137.09,2637.19,1376.52,664.03,1133.81,2492.73,567.95,234.19,,641.26,1079.9,,329.56,739.96
11,718.07,226.26,192.25,1002.36,1132.87,948.96,661.86,2526.78,1149.71,863.85,937.81,2572.74,493.48,1040.14,,427.52,1368.46,,264.05,975.83
